,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1998-99,20.0,DAL,NBA,PF,47,24,958,136,336,0.405,14,68,0.20600000000000002,122,268,0.455,0.426,99,128,0.773,41,121,162,47,29,27,73,105,385
1,1999-00,21.0,DAL,NBA,PF,82,81,2938,515,1118,0.461,116,306,0.379,399,812,0.491,0.513,289,348,0.83,102,430,532,203,63,68,141,256,1435
2,2000-01,22.0,DAL,NBA,PF,82,82,3125,591,1247,0.474,151,390,0.387,440,857,0.513,0.534,451,538,0.838,119,635,754,173,79,101,156,245,1784
3,2001-02,23.0,DAL,NBA,C,76,76,2891,600,1258,0.47700000000000004,139,350,0.397,461,908,0.508,0.532,440,516,0.853,120,635,755,186,83,77,145,222,1779
4,2002-03,24.0,DAL,NBA,PF,80,80,3117,690,1489,0.46299999999999997,148,390,0.379,542,1099,0.493,0.513,483,548,0.8809999999999999,81,710,791,239,111,82,152,206,2011
5,2003-04,25.0,DAL,NBA,C,77,77,2915,605,1310,0.462,99,290,0.341,506,1020,0.496,0.5,371,423,0.877,90,580,670,207,92,104,135,216,1680
6,2004-05,26.0,DAL,NBA,PF,78,78,3020,663,1445,0.45899999999999996,91,228,0.39899999999999997,572,1217,0.47,0.49,615,708,0.8690000000000001,96,661,757,240,97,119,176,219,2032
7,2005-06,27.0,DAL,NBA,PF,81,81,3089,751,1564,0.48,110,271,0.406,641,1293,0.496,0.515,539,598,0.9009999999999999,115,613,728,226,58,83,156,164,2151
8,2006-07,28.0,DAL,NBA,PF,78,78,2820,673,1341,0.502,72,173,0.41600000000000004,601,1168,0.515,0.529,498,551,0.904,122,571,693,263,52,62,167,171,1916
9,2007-08,29.0,DAL,NBA,PF,77,77,2769,630,1314,0.479,79,220,0.359,551,1094,0.504,0.51,478,544,0.879,95,564,659,266,51,71,160,198,1817
10,2008-09,30.0,DAL,NBA,PF,81,81,3050,774,1616,0.479,61,170,0.359,713,1446,0.493,0.498,485,545,0.89,88,593,681,197,61,63,157,176,2094
11,2009-10,31.0,DAL,NBA,PF,81,80,3039,720,1496,0.48100000000000004,51,121,0.42100000000000004,669,1375,0.48700000000000004,0.498,536,586,0.915,80,540,620,218,70,79,149,208,2027
12,2010-11,32.0,DAL,NBA,PF,73,73,2504,610,1179,0.517,66,168,0.39299999999999996,544,1011,0.5379999999999999,0.545,395,443,0.892,50,463,513,190,38,47,137,172,1681
13,2011-12,33.0,DAL,NBA,PF,62,62,2079,473,1034,0.457,78,212,0.368,395,822,0.48100000000000004,0.495,318,355,0.8959999999999999,46,372,418,136,42,30,117,129,1342
14,2012-13,34.0,DAL,NBA,PF,53,47,1661,343,728,0.47100000000000003,65,157,0.414,278,571,0.48700000000000004,0.516,166,193,0.86,37,326,363,132,38,37,70,93,917
15,2013-14,35.0,DAL,NBA,PF,80,80,2628,633,1273,0.49700000000000005,131,329,0.39799999999999996,502,944,0.532,0.5489999999999999,338,376,0.899,40,458,498,216,73,45,117,165,1735
16,2014-15,36.0,DAL,NBA,PF,77,77,2282,487,1062,0.45899999999999996,104,274,0.38,383,788,0.486,0.508,255,289,0.882,44,413,457,143,39,33,82,160,1333
17,2015-16,37.0,DAL,NBA,PF,75,75,2364,498,1112,0.44799999999999995,126,342,0.368,372,770,0.483,0.504,250,280,0.893,52,437,489,132,52,52,84,161,1372
18,2016-17,38.0,DAL,NBA,PF,54,54,1424,296,678,0.43700000000000006,79,209,0.37799999999999995,217,469,0.46299999999999997,0.495,98,112,0.875,23,330,353,82,30,38,51,113,769
19,2017-18,39.0,DAL,NBA,C,77,77,1900,346,758,0.456,138,337,0.409,208,421,0.494,0.547,97,108,0.898,22,416,438,120,43,45,51,146,927
20,2018-19,40.0,DAL,NBA,PF,51,20,795,135,376,0.359,64,205,0.312,71,171,0.415,0.444,39,50,0.78,5,153,158,35,9,18,18,76,373
21,Career,,,NBA,,1522,1460,51368,11169,23734,0.47100000000000003,1982,5210,0.38,9187,18524,0.496,0.512,7240,8239,0.879,1468,10021,11489,3651,1210,1281,2494,3601,31560
